file,category,motion,motion_reason,usable,quality_reason,description,confidence,dense_pattern,overhead_view,duplicate_of,input_tokens,output_tokens,cost_usd
WhatsApp Image 2026-09-09 at 08.29.46 (4).jpeg,chambre,statique,"Composition frontale centrée sur le lit avec motifs répétitifs denses (cadres muraux, zellige stylisé) et symétrie marquée",True,,"Chambre aux murs blancs ornés de motifs géométriques dorés et de miroirs encadrés. Lit aux draps rouges et blancs, décoration florale stylisée, éclairage chaleureux et sol en zellige multicolore.",high,True,False,,1896,186,0.002826
WhatsApp Image 2026-09-09 at 08.29.46.jpeg,commun,statique,"Composition frontale avec miroir encadré et motifs architecturaux répétitifs (niches, arcs); vue directe sans profondeur spatiale",True,,"Salle d'eau marocaine avec vasque murale encadrée d'un miroir en arc outrepassé. Niches encastrées dans le mur blanc, accessoires de salle de bain, serviettes beiges et rideau jaune ocre complètent l'aménagement.",high,True,False,,1896,195,0.002871
WhatsApp Image 2026-09-09 at 08.29.47 (1).jpeg,chambre,motion,"Vue large de la chambre, perspective spacieuse sans motif géométrique dominant",True,,"Chambre avec tête de lit arquée bleu ciel, lit confortable aux draps clairs et coussins colorés. Décoration éclectique mêlant influences marocaines et méditerranéennes : carrelage géométrique bleu et blanc, lanternes dorées, miroir ornemental, objets de décoration murale variés.",high,False,False,,1896,187,0.002831
WhatsApp Image 2026-09-09 at 08.29.47 (2).jpeg,commun,statique,Motif géométrique dense au sol (zellige bleu et blanc répétitif) dominant la composition,True,,"Salle de bains aux murs blancs ornée de miroirs et d'accessoires dorés. Le sol présente un zellige géométrique bleu et blanc caractéristique du style marocain, complété par des niches murales peintes en bleu foncé et une suspension en cristal.",high,True,False,,1896,181,0.002801
WhatsApp Image 2026-09-09 at 08.29.47 (3).jpeg,chambre,statique,Vue plongeante dominante avec motifs géométriques denses au sol (zellige bleu et or) et pegboard répétitif en arrière-plan,True,,"Chambre avec tête de lit arquée en bleu turquoise, literie blanche et coussins assortis. Le sol présente un zellige géométrique bleu et or caractéristique du style marocain, complété par un pegboard blanc et or en arrière-plan.",high,True,False,,1896,192,0.002856
WhatsApp Image 2026-09-09 at 08.29.47 (4).jpeg,chambre,statique,"Vue frontale d'une chambre avec zellige dense au sol et motifs répétitifs aux murs (pegboard), composition symétrique",True,,"Chambre double avec deux lits aux draps jaune anis et blanc, tête de lit turquoise ornée d'une applique dorée. Décoration marocaine classique : zellige géométrique au sol, pegboard blanc aux murs, lustre blanc et accessoires en laiton.",high,True,False,,1896,188,0.002836
WhatsApp Image 2026-09-09 at 08.29.47.jpeg,commun,statique,"Vue frontale d'une salle de bain avec miroir orné et éléments de décoration répétitifs (niches, accessoires)",True,,"Salle de bain aux murs blancs et jaunes, équipée d'un lavabo suspendu et d'un grand miroir doré à décor floral. Trois niches en arc de plein cintre intégrées dans la paroi accueillent des accessoires de toilette et des objets de décoration.",high,False,False,,1896,197,0.002881
WhatsApp Image 2026-09-09 at 08.29.48 (1).jpeg,chambre,motion,"Vue large de la pièce, perspective spacieuse sans motif géométrique dominant",True,,"Chambre double aux murs blanc et vert pâle, lit principal avec couverture jaune citron et coussins terracotta. Décoration éclectique mêlant influences orientales et coloniales : lustre blanc, appliques dorées, petits objets d'art et textiles traditionnels.",high,False,False,,1896,178,0.002786
WhatsApp Image 2026-09-09 at 08.29.48 (2).jpeg,commun,statique,Motif géométrique dense au sol (zellige turquoise et noir) dominant la composition,True,,"Salle de bains traditionnelle marocaine avec carrelage zellige turquoise et noir au sol, miroirs ornementés en bois sculpté, et portes en cèdre massif. Aménagement fonctionnel associant éléments de décoration artisanale et équipements modernes.",high,True,False,,1896,182,0.002806
WhatsApp Image 2026-09-09 at 08.29.48 (3).jpeg,detail,statique,"Vue plongeante d'une vasque avec pétales, composition dense et répétitive",True,,"Baignoire blanche avec eau teintée et pétales de rose rouges, robinetterie chromée et verre d'eau posé sur le rebord. Détail de salle de bain spa mettant en avant l'ambiance relaxante.",high,True,True,,1896,168,0.002736
WhatsApp Image 2026-09-09 at 08.29.48 (4).jpeg,detail,statique,"Vue plongeante sur vasque avec pétales, détail d'aménagement spa/bien-être",True,,"Baignoire remplie d'eau claire parsemée de pétales de rose rouges, robinetterie chromée élégante en arrière-plan. Ambiance spa intime typique des établissements marocains haut de gamme.",high,True,True,,1896,170,0.002746
WhatsApp Image 2026-09-09 at 08.29.48.jpeg,chambre,motion,"Vue large de la pièce, perspective spacieuse sans motif géométrique dominant",True,,"Chambre double avec deux lits aux draps jaune et vert anis, décorée d'éléments traditionnels marocains : portes sculptées en bois, miroir encadré de zellige, tentures bordeaux et accessoires en laiton. Plafond orné d'un lustre blanc et climatisation visible.",high,False,False,,1896,184,0.002816
WhatsApp Image 2026-09-09 at 08.29.49 (1).jpeg,chambre,statique,"Vue plongeante dominante avec motifs géométriques denses au sol et au mur (zellige, carrelage à damier, perforations murales répétitives)",True,,"Chambre de riad aux proportions allongées, décorée dans un style marocain contemporain. Lit à baldaquin jaune, textiles rayés rouge et blanc, murs blancs ornés de perforations géométriques, portes en bois travaillé et carrelage traditionnel au sol.",high,True,True,,1896,202,0.002906
WhatsApp Image 2026-09-09 at 08.29.49 (2).jpeg,commun,statique,Motif géométrique dense au sol (zellige noir et jaune) dominant la composition,True,,"Salle de bains spacieuse aux teintes jaune et blanc, équipée d'une baignoire îlot orange et de deux vasques. Le sol en zellige noir et jaune crée un contraste marqué avec les murs blancs et les miroirs encadrés de bois.",high,True,False,,1896,176,0.002776
WhatsApp Image 2026-09-09 at 08.29.49 (3).jpeg,commun,statique,"Vue plongeante dominante avec motif géométrique dense au sol (zellige), plafond à roseaux structuré, composition frontale étroite",True,,"Espace couvert d'un riad avec plafond en roseaux et poutres rouges, sol en zellige géométrique. Mobilier en rotin, cactus en pots terracotta, décoration sobre avec livres et objets artisanaux.",high,True,True,,1896,188,0.002836
WhatsApp Image 2026-09-09 at 08.29.49 (4).jpeg,commun,motion,"Vue large d'une salle spacieuse avec profondeur, mobilier dispersé, pas de motif géométrique dense dominant",True,,"Salle commune sous charpente traditionnelle en roseaux et poutres rouges. Tables basses en zellige jaune et noir, chaises en rotin blanc, décoration murale de paniers tressés. Accès à une pièce intérieure visible au fond.",high,False,False,,1896,181,0.002801
WhatsApp Image 2026-09-09 at 08.29.49 (5).jpeg,detail,statique,Vue rapprochée d'objets de décoration (cactus en pots) sans profondeur de champ significative,True,,"Composition de cactus en pots de terre cuite disposés sur une table en bois, dans un intérieur aux murs en bambou tressé. L'arrière-plan révèle un espace commun lumineux avec mobilier en rotin.",high,True,False,,1896,174,0.002766
WhatsApp Image 2026-09-09 at 08.29.49.jpeg,chambre,motion,"Vue large et spacieuse de la chambre avec profondeur, peu de motif répétitif dominant",True,,"Chambre élégante aux murs blancs et détails dorés, lit avec coussins orange et blanc à motifs géométriques. Décoration raffinée mêlant influences marocaines et méditerranéennes, avec miroir doré, lustre en laiton et accès vers le patio intérieur.",high,False,False,,1896,186,0.002826
WhatsApp Image 2026-09-09 at 08.29.50 (1).jpeg,detail,statique,"Vue plongeante d'une table de petit-déjeuner avec motifs géométriques denses (carrelage jaune, textiles répétitifs)",True,,"Table de petit-déjeuner marocain vue de dessus : croissants, fruits frais, jus d'orange, confitures et café. Carrelage jaune ocre et textiles à motifs géométriques bleus et violets.",high,True,True,,1666,183,0.002581
WhatsApp Image 2026-09-09 at 08.29.50 (2).jpeg,commun,statique,"Vue plongeante sur table dressée avec motifs répétitifs (assiettes, couverts, textiles), composition dense et cadrée de haut",True,,"Table de petit-déjeuner ou brunch dressée avec omelette, pâtisseries, jus d'orange et café. Mise en place soignée sur textiles naturels, reflet d'une hospitalité marocaine attentive aux détails.",high,True,True,,1896,187,0.002831
WhatsApp Image 2026-09-09 at 08.29.50 (3).jpeg,commun,motion,"Vue large d'une terrasse couverte spacieuse avec profondeur et perspective, peu de motif répétitif dominant",True,,"Terrasse couverte d'un riad avec charpente en bois et toile de lin. L'espace combine mobilier en rotin, zellige au sol et décoration végétale, typique de l'architecture marocaine traditionnelle.",high,False,False,,1896,173,0.002761
WhatsApp Image 2026-09-09 at 08.29.50 (4).jpeg,exterieur,motion,"Terrasse spacieuse avec vue large, mobilier dispersé, pas de motif géométrique dominant",True,,"Terrasse aménagée avec mobilier en bois et rotin, coussins rayés vert et blanc. Parasol assorti, murs blancs crénelés, palmier et lanternes murales complètent l'ambiance méditerranéenne.",high,False,False,,1896,172,0.002756
WhatsApp Image 2026-09-09 at 08.29.50 (5).jpeg,exterieur,motion,Terrasse ouverte spacieuse avec vue large sur l'espace et l'architecture environnante,True,,"Terrasse aménagée d'un riad avec mobilier contemporain en rotin blanc, parasols rayés vert et blanc, et vue sur la médina. Le sol en zellige traditionnel et les plantes en pots créent une ambiance méditerranéenne.",high,False,False,,1896,173,0.002761
WhatsApp Image 2026-09-09 at 08.29.50.jpeg,commun,motion,"Vue large d'une terrasse couverte spacieuse avec profondeur et perspective, sans motif géométrique dominant",True,,"Terrasse couverte d'un riad avec structure en bois et roseaux, mobilier en rotin, sol en zellige blanc et rouge. Espace de détente ouvert sur la médina avec rideaux en lin et décoration murale traditionnelle.",high,False,False,,1896,174,0.002766
